;OBJECTID;MXLOCATION;type;status;descriptio;GlobalID;geometry
0;1;ALB;ACSTN;COMMISSIONED;Albany;33139fc0-d234-4d39-b830-4d99d2bf4a7a;POINT (1750929.0001 5932699.0001)
1;2;APS;ACSTN;COMMISSIONED;Arthurs Pass;01de4caf-60df-428a-8c17-c825b41ccdea;POINT (1483256.0001 5243850.0001)
2;3;ARA;ACSTN;COMMISSIONED;Aratiatia;a73e54b3-3587-4cee-a298-ae25174e1cea;POINT (1873657.0001 5721161.0001)
3;4;ARG;ACSTN;COMMISSIONED;Argyle;829bc502-619f-445d-9191-51cbb7b650ca;POINT (1616837.0001 5386748.0001)
4;5;ARI;ACSTN;COMMISSIONED;Arapuni;aa066047-a488-4f3e-9a8d-5fa6cc0bb02f;POINT (1831847.0001 5782925.0001)
5;6;ASB;ACSTN;COMMISSIONED;Ashburton;d0a815b1-b64a-406c-b8f0-c71f6e3435f4;POINT (1503871.0001 5133909.0001)
6;7;ASY;ACSTN;COMMISSIONED;Ashley;2395143a-acdb-4177-b463-eaf8881765b4;POINT (1569375.0001 5209968.0001)
7;8;ATI;ACSTN;COMMISSIONED;Atiamuri;df4ed277-953a-4bc0-895a-0402ded96f18;POINT (1863993.0001 5746266.0001)
8;9;ABY;ACSTN;COMMISSIONED;Albury;c93dffcf-712d-481d-95df-b2b248ae9c78;POINT (1424397.0001 5097843.0001)
9;10;ADD;ACSTN;COMMISSIONED;Addington;ee227d97-4f5f-4b14-a0ad-df689e250d53;POINT (1567884.0001 5179259.0001)
10;11;ATU;ACSTN;COMMISSIONED;Atarau;179c2a27-5720-4788-96fd-df9a7f94a69d;POINT (1479770.0001 5314014.0001)
11;12;AVI;ACSTN;COMMISSIONED;Aviemore;50e08815-fe9e-49af-a157-1624416c0754;POINT (1390245.0001 5051586.0001)
12;13;BAL;ACSTN;COMMISSIONED;Balclutha;ba7102ae-78fb-416e-b060-621f2c9b5f9a;POINT (1350994.0001 4875583.0001)
13;14;BDE;ACSTN;COMMISSIONED;Brydone;f8064d7b-c230-47c9-9ee1-9d9dcfd49202;POINT (1279333.0001 4872602.0001)
14;15;BEN;ACSTN;COMMISSIONED;Benmore AC;0a057619-5453-41a4-bf91-3af0cdb5e45e;POINT (1377232.0001 5061385.0001)
15;16;BLN;ACSTN;COMMISSIONED;Blenheim;921fd6b7-5ea0-42f0-9c56-30388d57e0c3;POINT (1677835.0001 5405479.0001)
16;17;BOB;ACSTN;COMMISSIONED;Bombay;cd37a0e3-8ce2-49bd-8266-a096f0b7fdf2;POINT (1777554.0001 5882318.0001)
17;18;BHL;ACSTN;COMMISSIONED;Brownhill Road;93b017ac-a013-4aa3-a7cc-5a650d331de3;POINT (1774444.9101 5906262.7201)
18;19;BPD;ACSTN;COMMISSIONED;Bells Pond;48ccab53-3cf8-4405-b181-20a5f491ba1e;POINT (1438716.0001 5027527.0001)
19;20;BPE;ACSTN;COMMISSIONED;Bunnythorpe;9b27c7f4-7264-4a1a-94db-31ea08459032;POINT (1824482.0001 5537672.0001)
20;21;BPT;ACSTN;COMMISSIONED;Black Point;bdea3101-2ec2-4508-9f27-8b6520c958d4;POINT (1426227.0301 5027118.8901)
21;22;BRB;ACSTN;COMMISSIONED;Bream Bay;8a232898-7ce7-4f7f-8ce1-394bb2e62a70;POINT (1733637.0001 6031785.0001)
22;23;BRK;ACSTN;COMMISSIONED;Brunswick;ce248b8a-d7ad-4677-98a4-1133f1e5ee54;POINT (1775381.0001 5584691.0001)
23;24;BRY;ACSTN;COMMISSIONED;Bromley;5487694c-abd3-4644-af6d-add1628f89a4;POINT (1575608.0001 5180029.0001)
24;25;BWK;ACSTN;COMMISSIONED;Berwick;23090646-b875-40cd-8af2-263736e06029;POINT (1375380.0001 4908481.0001)
25;26;CBG;ACSTN;COMMISSIONED;Cambridge;99975078-25b8-4bdb-902c-fe2e5eae8e78;POINT (1818482.0001 5805622.0001)
26;27;CLH;ACSTN;COMMISSIONED;Castle Hill;f02dde6b-85ea-4817-b10e-2b09d916c145;POINT (1496824.0001 5214719.0001)
27;28;CML;ACSTN;COMMISSIONED;Cromwell;a920b6e5-df41-4baa-a3b8-a45fc65dcf22;POINT (1300103.0001 5003434.0001)
28;30;COL;ACSTN;COMMISSIONED;Coleridge;aebbbfbc-a051-4314-a271-4d6188a23d0c;POINT (1480646.0001 5197734.0001)
