OBJECTID,MXLOCATION,designvolt,status,description,type,Symbol,Shape__Length,GlobalID
1,AHA-DOB-A,66,COMMISSIONED,Arahura - Dobson A,TRANSLINE,66 TRANSLINE,8857.46440836165,e472d139-ad43-4dbb-afa3-18742c8eb2de
2,AHA-DOB-A1-CBL,66,COMMISSIONED,AHA-DOB-A1-CBL Section,CABLE,66 CABLE,470.196468692008,477fe78f-db79-4879-9ca7-d48c63eb3508
3,AHA-OTI-A,66,COMMISSIONED,Arahura - Otira A,TRANSLINE,66 TRANSLINE,63421.1775846478,7d437602-6626-49ad-b1a9-6c93f633fd03
4,ALB-HPI-A,220,COMMISSIONED,Albany - Huapai A,TRANSLINE,220 TRANSLINE,14887.8050679823,aab0b586-6886-409c-8746-1f00ac2925a6
5,ALB-SVL-A,220,COMMISSIONED,Albany - Silverdale A,TRANSLINE,220 TRANSLINE,14346.2632928135,67bd35ff-ecfc-4a9e-9d44-afcd9db6e002
6,ALB-WRD-C-CBL,220,COMMISSIONED,Albany - Wairau Road Cable C,CABLE,220 CABLE,8372.8233808627,03eba4c4-1ea7-4629-9d6b-d9d31a43c049
7,ARA-WRK-A,220,COMMISSIONED,Aratiatia - Wairakei A,TRANSLINE,220 TRANSLINE,4564.26499099791,c3b1fcb8-4ea0-4533-874c-3193a1b945bf
8,ARI-EDG-A,110,COMMISSIONED,Arapuni - Edgecumbe A,TRANSLINE,110 TRANSLINE,80565.8374112732,6982356b-b973-44c4-865c-154fe548f9e8
9,ARI-EDG-B,110,COMMISSIONED,Arapuni - Edgecumbe B,TRANSLINE,110 TRANSLINE,79597.8157479109,6b69eab1-75ef-441f-99a3-6d7dc47705c8
10,ARI-HAM-A,110,COMMISSIONED,Arapuni - Hamilton A,TRANSLINE,110 TRANSLINE,47281.4575089006,adaed34e-210a-4eba-97e2-f728b21f3525
11,ARI-HAM-B,110,COMMISSIONED,Arapuni - Hamilton B,TRANSLINE,110 TRANSLINE,47307.9994757916,de7de3b3-e5be-4a10-898e-b5768f4ee123
12,ARI-ONG-A,110,COMMISSIONED,Arapuni - Ongarue A,TRANSLINE,110 TRANSLINE,40714.1404056268,13a2fd83-d0c7-49d0-b78c-c98948f23494
13,ARI-ONG-B,110,COMMISSIONED,Arapuni - Ongarue B,TRANSLINE,110 TRANSLINE,91901.7113638892,ded6f9ad-7894-4109-9dd9-e2fdc234b246
14,ASH-TIM-A,110,COMMISSIONED,Ashburton - Timaru A,TRANSLINE,110 TRANSLINE,17988.6676817011,164b0935-34d5-4797-a31d-a1d4d93af08c
15,ASH-TIM-B,110,COMMISSIONED,Ashburton - Timaru B,TRANSLINE,110 TRANSLINE,15729.8074014066,b901bd24-7421-458f-a60e-32f45c3487ca
16,ASY-DEV-A,66,COMMISSIONED,Ashley - Deviation A,TRANSLINE,66 TRANSLINE,3926.11206886965,97333440-07e4-46dc-b3f8-39076fce3e48
18,ATI-TRK-A,220,COMMISSIONED,Atiamuri - Tarukenga A,TRANSLINE,220 TRANSLINE,44623.7434524003,1bed9eed-80fc-4284-9a45-a97cb458ca69
19,AVI-BEN-A,220,COMMISSIONED,Aviemore - Benmore A,TRANSLINE,220 TRANSLINE,18421.5932965758,3418f4e1-cc05-4d88-91dd-017dea53ba2a
20,AVI-LIV-A,220,COMMISSIONED,Aviemore - Livingstone A,TRANSLINE,220 TRANSLINE,40632.6323423651,0b0ca4c2-417c-4378-b125-310886c6eb75
21,BAL-DEV-A,110,COMMISSIONED,Balclutha - Deviation A,TRANSLINE,110 TRANSLINE,13321.5859553375,49e41447-a8c8-45a6-af16-1a20fbbf491c
22,BDE-DEV-A,110,COMMISSIONED,Brydone - Deviation A,TRANSLINE,110 TRANSLINE,3441.32499912655,c4194bc8-a6b3-4dce-9049-0f6ab759189c
23,BEN-BGR-A,0,COMMISSIONED,Benmore - Bog Roy A,TRANSLINE,0 TRANSLINE,7499.67955599584,b98333d3-9da3-4674-9ece-852edf38c0b7
24,BEN-HAY-A,350,COMMISSIONED,Benmore - Haywards A,TRANSLINE,350 TRANSLINE,552374.477489489,aaba2784-b101-4ff2-9b94-4e7cdc7103bf
25,BEN-ISL-A,220,COMMISSIONED,Benmore - Islington A,TRANSLINE,220 TRANSLINE,265487.81541037,e99ce3ce-9206-4bd7-94e9-acf7d0b392e3
26,BEN-TWZ-A,220,COMMISSIONED,Benmore - Twizel A,TRANSLINE,220 TRANSLINE,39749.4406163401,8600785e-f817-4b50-9122-e12d36bd61ee
27,BHL-PAK-A-CBL,220,COMMISSIONED,Brownhill - Pakuranga A,CABLE,220 CABLE,10794.1998390722,d03d57d8-cd8d-4ed6-8cc0-162db2182b74
28,BHL-PAK-B-CBL,220,COMMISSIONED,Brownhill - Pakuranga B,CABLE,220 CABLE,10867.2403833268,cd85a37e-cc7a-47b6-a7ec-cb16984fd15e
29,BKD-HOR-A,66,COMMISSIONED,Brackendale - Hororata A,TRANSLINE,66 TRANSLINE,14220.2917400142,ecac537e-06ea-4ac1-ab32-3830fab2e166
30,BLN-KIK-A,110,COMMISSIONED,Blenheim - Kikiwa A,TRANSLINE,110 TRANSLINE,108438.231271803,699b5810-497d-416d-8e72-a2276d060338
31,BLN-STK-A,110,COMMISSIONED,Blenheim - Stoke A,TRANSLINE,110 TRANSLINE,77020.0922988672,a3f79d8a-fb82-4e95-bb77-9d839380443d
32,BOB-MER-A,110,COMMISSIONED,Bombay - Meremere A,TRANSLINE,110 TRANSLINE,15964.9305872074,ccbc5a22-4367-4e1d-8758-1d6c2616589b
33,BPD-TEE-A,110,COMMISSIONED,Bells Pond - Tee A,TRANSLINE,110 TRANSLINE,571.026342665087,632350cc-5296-4c39-9a31-adf6f9fdd997
34,BPE-HAY-A,220,COMMISSIONED,Bunnythorpe - Haywards A,TRANSLINE,220 TRANSLINE,120001.562011871,8cde6ac2-1f7d-4a2b-a22c-f58dbb6c65e3
35,BPE-HAY-B,220,COMMISSIONED,Bunnythorpe - Haywards B,TRANSLINE,220 TRANSLINE,119757.630662815,39468f8a-b347-41ce-8947-8986684ec1ba
36,BPE-MHO-A,110,COMMISSIONED,Bunnythorpe - Mangahao A,TRANSLINE,110 TRANSLINE,42494.0220285913,91934baa-6fec-49cb-b57b-a35f6e281358
37,BPE-MHO-B,110,COMMISSIONED,Bunnythorpe - Mangahao B,TRANSLINE,110 TRANSLINE,38523.2186394358,1705a78d-a413-4e38-8127-8657c0bdb143
38,BPE-WDV-B,110,COMMISSIONED,Bunnythorpe - Woodville B,TRANSLINE,110 TRANSLINE,22395.3122052334,b455d67d-cea9-48ae-8a09-4c3507b52432
39,BPE-WIL-A,220,COMMISSIONED,Bunnythorpe - Wilton A,TRANSLINE,220 TRANSLINE,151674.407886437,e683eb92-ca63-45c0-a565-e7d32885478c
40,BPT-TEE-A,110,COMMISSIONED,Black Point - Tee A,TRANSLINE,110 TRANSLINE,3535.6973244797,7be7dce8-b494-4b2c-9522-f2fa19a8328e
41,BRB-DEV-A,220,COMMISSIONED,Bream Bay - Deviation A,TRANSLINE,220 TRANSLINE,3614.54396088644,326a7f9c-7190-4e6e-9dc5-608cecba0283
42,BRK-BPE-A,220,COMMISSIONED,Brunswick - Bunnythorpe A,TRANSLINE,220 TRANSLINE,71538.4826012506,9e66e160-6f0c-4b49-b03a-b0e181cfc4d8
43,BRK-SFD-A,220,COMMISSIONED,Brunswick - Stratford A,TRANSLINE,220 TRANSLINE,96268.3529521796,c38496ac-1b3a-4c0d-aa8c-3f7f40385522
44,BRK-SFD-B,220,COMMISSIONED,Brunswick - Stratford B,TRANSLINE,220 TRANSLINE,96741.1810114519,3bdebc41-b2aa-4a0d-95bb-d290cca53f73
45,BRY-ISL-A,220,COMMISSIONED,Bromley - Islington A,TRANSLINE,220 TRANSLINE,28312.4364730289,a6bca9ce-c9ce-4664-bd93-d299562c09cd
46,BWR-IGH-A,110,COMMISSIONED,Blackwater - Inangahua A,TRANSLINE,110 TRANSLINE,54076.9685323242,928c345a-ad2c-4917-9338-f8c71433d4f9
47,CHH-TWZ-A,220,COMMISSIONED,Christchurch - Twizel A,TRANSLINE,220 TRANSLINE,216842.263971996,5389a977-e898-420e-b178-53d1a4113e38
48,CML-FKN-A,110,COMMISSIONED,Cromwell - Frankton A,TRANSLINE,110 TRANSLINE,40832.9460986105,cb38d671-504f-4094-9d0b-fa69c6014056
49,COL-BKD-D,66,COMMISSIONED,Coleridge - Brackendale D,TRANSLINE,66 TRANSLINE,33110.8627970619,7e23d421-7fc9-4395-a5bc-cc852a15e8ab
